,X.1,X,EcoliGeneName,EcoliLocus,NP_Ecoli,EcoliProtein,EcoliProteinCluster,SalmonellaProtein,SalmonellaCluster,NP_Salmonella,SalmonellaGeneName,SalmonellaLocus,State
1209,1401,2871,rpiA,b2914,NP_417389,WP_000189743.1,PCLA_414306,WP_000189741.1,PCLA_414306,NP_461979,rpiA,STM3063,MATCH
1210,1402,2873,iciA,b2916,NP_417391,WP_000828351.1,PCLA_207591,WP_000828345.1,PCLA_207591,NP_461980,iciA,STM3064,MATCH
1211,1403,2879,yggE,b2922,NP_417397,WP_000669834.1,PCLA_431294,WP_000669854.1,PCLA_431294,NP_461981,yggE,STM3065,MATCH
1212,1404,2880,yggA,b2923,NP_417398,WP_000493352.1,PCLA_419536,WP_000626863.1,PCLA_419536,NP_461982,yggA,STM3066,MATCH
1213,1405,2881,yggB,b2924,NP_417399,WP_000389818.1,PCLA_430603,WP_000389833.1,PCLA_430603,NP_461983,yggB,STM3067,MATCH
1214,1406,2882,fba,b2925,NP_417400,WP_000034372.1,PCLA_419498,WP_000034386.1,PCLA_419498,NP_461984,fba,STM3068,MATCH
1215,1407,2883,pgk,b2926,NP_417401,WP_000111269.1,PCLA_2998406,WP_000111274.1,PCLA_2998406,NP_461985,pgk,STM3069,MATCH
1216,1408,2884,epd,b2927,NP_417402,WP_000218480.1,PCLA_2912535,WP_000218338.1,PCLA_2912535,NP_461986,epd,STM3070,MATCH
1217,1409,2893,speB,b2937,NP_417412,WP_000105566.1,PCLA_124944,WP_000105550.1,PCLA_124944,NP_461994,speB,STM3078,MATCH
1218,1410,2894,speA,b2938,NP_417413,WP_001300904.1,PCLA_209228,WP_001278580.1,PCLA_209228,NP_462002,speA,STM3086,MATCH
1219,1412,2897,metK,b2942,NP_417417,WP_001062128.1,PCLA_209128,WP_001062140.1,PCLA_209128,NP_462006,metK,STM3090,MATCH
1220,1413,2898,galP,b2943,NP_417418,WP_001112301.1,PCLA_2846268,WP_001113171.1,PCLA_2846268,NP_462007,galP,STM3091,MATCH
1221,1414,2899,sprT,b2944,NP_417419,WP_001300769.1,PCLA_208758,WP_000856775.1,PCLA_208758,NP_462008,sprT,STM3092,MATCH
1222,1415,2900,endA,b2945,NP_417420,WP_000286500.1,PCLA_2846252,WP_000286122.1,PCLA_2846252,NP_462009,endA,STM3093,MATCH
1223,1416,2902,gshB,b2947,NP_417422,WP_000593273.1,PCLA_209124,WP_000593248.1,PCLA_209124,NP_462011,gshB,STM3095,MATCH
1224,1417,2904,yqgF,b2949,NP_417424,WP_000017106.1,PCLA_414012,WP_000017096.1,PCLA_414012,NP_462013,yqgF,STM3097,MATCH
1225,1419,2907,yggT,b2952,NP_417427,WP_001094831.1,PCLA_880541,WP_001094848.1,PCLA_880541,NP_462017,yggT,STM3101,MATCH
1226,1420,2909,yggV,b2954,NP_417429,WP_001174777.1,PCLA_414020,WP_001174769.1,PCLA_414020,NP_462019,yggV,STM3103,MATCH
1227,1421,2910,yggW,b2955,NP_417430,WP_000239943.1,PCLA_209505,WP_001096518.1,PCLA_209505,NP_462020,yggW,STM3104,MATCH
1228,1422,2911,yggM,b2956,NP_417431,WP_000745210.1,PCLA_880542,WP_000252197.1,PCLA_880542,NP_462021,yggM,STM3105,MATCH
1229,1423,2912,ansB,b2957,NP_417432,WP_000394140.1,PCLA_431301,WP_000394189.1,PCLA_431301,NP_462022,ansB,STM3106,MATCH
1230,1424,2913,yggN,b2958,NP_417433,WP_000984796.1,PCLA_430868,WP_000984838.1,PCLA_430868,NP_462023,yggN,STM3107,MATCH
1231,1425,2915,yggH,b2960,NP_417435,WP_000786911.1,PCLA_414021,WP_000786895.1,PCLA_414021,NP_462025,yggH,STM3109,MATCH
1232,1426,2916,mutY,b2961,NP_417436,WP_001321419.1,PCLA_431114,WP_001148956.1,PCLA_431114,NP_462026,mutY,STM3110,MATCH
1233,1427,2917,yggX,b2962,NP_417437,WP_000091700.1,PCLA_209280,WP_000091706.1,PCLA_209280,NP_462027,yggX,STM3111,MATCH
1234,1428,2921,yqgA,b2966,NP_417441,WP_000234514.1,PCLA_880544,WP_000234466.1,PCLA_880544,NP_462031,yqgA,STM3115,MATCH
1235,1429,2942,gsp,b2988,NP_417462,WP_001297309.1,PCLA_430756,WP_000033690.1,PCLA_430756,NP_462054,gsp,STM3139,MATCH
1236,1430,2944,hybG,b2990,NP_417464,WP_000334896.1,PCLA_430674,WP_000334887.1,PCLA_430674,NP_462058,hybG,STM3143,MATCH
1237,1431,2946,hybE,b2992,NP_417466,WP_000134014.1,PCLA_430723,WP_000004953.1,PCLA_430723,NP_462060,hybE,STM3145,MATCH
1238,1432,2948,hybC,b2994,NP_417468,WP_000083065.1,PCLA_430725,WP_000083044.1,PCLA_430725,NP_462062,hybC,STM3147,MATCH
1239,1433,2949,hybB,b2995,NP_417469,WP_000017703.1,PCLA_431115,WP_000017678.1,PCLA_431115,NP_462063,hybB,STM3148,MATCH
1241,1436,2952,yghW,b2998,NP_417472,WP_001059136.1,PCLA_880546,WP_001059119.1,PCLA_880546,NP_462066,yghW,STM3151,MATCH
1242,1438,2955,yqhA,b3002,NP_417475,WP_000439331.1,PCLA_209089,WP_000439335.1,PCLA_209089,NP_462068,yqhA,STM3153,MATCH
1243,1439,2956,yghA,b3003,NP_417476,WP_000018760.1,PCLA_418730,WP_000019032.1,PCLA_418730,NP_462072,yghA,STM3157,MATCH
1244,1440,2957,exbD,b3005,NP_417478,WP_001240712.1,PCLA_431424,WP_001251476.1,PCLA_431424,NP_462073,exbD,STM3158,MATCH
1245,1441,2958,exbB,b3006,NP_417479,WP_000527844.1,PCLA_430675,WP_000527859.1,PCLA_430675,NP_462074,exbB,STM3159,MATCH
1246,1442,2959,metC,b3008,NP_417481,WP_001301079.1,PCLA_211950,WP_000130262.1,PCLA_211950,NP_462076,metC,STM3161,MATCH
1247,1443,2962,yqhD,b3011,NP_417484,WP_001058802.1,PCLA_2846253,WP_001058724.1,PCLA_2846253,NP_462079,yqhD,STM3164,MATCH
1248,1444,2967,sufI,b3017,NP_417489,WP_000059388.1,PCLA_431117,WP_000010658.1,PCLA_431117,NP_462087,sufI,STM3172,MATCH
1249,1445,2968,plsC,b3018,NP_417490,WP_000965722.1,PCLA_2846133,WP_000965730.1,PCLA_2846133,NP_462088,plsC,STM3173,MATCH
1250,1446,2969,parC,b3019,NP_417491,WP_001281881.1,PCLA_417157,WP_001281908.1,PCLA_417157,NP_462089,parC,STM3174,MATCH
1251,1447,2974,ygiW,b3024,NP_417496,WP_000712658.1,PCLA_880553,WP_000731552.1,PCLA_880553,NP_462091,ygiW,STM3176,MATCH
1252,1448,2975,ygiX,b3025,NP_417497,WP_001221495.1,PCLA_430604,WP_001221574.1,PCLA_430604,NP_462092,ygiX,STM3177,MATCH
1253,1449,2976,ygiY,b3026,NP_417498,WP_000673402.1,PCLA_430605,WP_000779328.1,PCLA_430605,NP_462093,ygiY,STM3178,MATCH
1254,1450,2978,mdaB,b3028,NP_417500,WP_000065430.1,PCLA_2944729,WP_000065416.1,PCLA_2944729,NP_462094,mdaB,STM3179,MATCH
1255,1451,2979,ygiN,b3029,NP_417501,WP_000958598.1,PCLA_2846269,WP_000958587.1,PCLA_2846269,NP_462095,ygiN,STM3180,MATCH
1256,1452,2980,parE,b3030,NP_417502,WP_000195296.1,PCLA_417155,WP_000195318.1,PCLA_417155,NP_462096,parE,STM3181,MATCH
1257,1454,2982,icc,b3032,NP_417504,WP_000444747.1,PCLA_431345,WP_000444735.1,PCLA_431345,NP_462098,icc,STM3183,MATCH
1258,1456,2984,yqiE,b3034,NP_417506,WP_000917117.1,PCLA_430969,WP_001231952.1,PCLA_430969,NP_462100,yqiE,STM3185,MATCH
1259,1457,2989,ygiE,b3040,NP_417512,WP_001295627.1,PCLA_416408,WP_000115874.1,PCLA_416408,NP_462105,ygiE,STM3190,MATCH
1260,1458,2990,ribB,b3041,NP_417513,WP_001076997.1,PCLA_415839,WP_001076978.1,PCLA_415839,NP_462110,ribB,STM3195,MATCH
1261,1460,3000,yqiK,b3051,NP_417523,WP_001311137.1,PCLA_880565,WP_000342878.1,PCLA_880565,NP_462114,yqiK,STM3199,MATCH
1262,1461,3003,rfaE,b3052,NP_417524,WP_000869178.1,PCLA_431451,WP_000867682.1,PCLA_431451,NP_462115,rfaE,STM3200,MATCH
1263,1462,3004,glnE,b3053,NP_417525,WP_001301081.1,PCLA_431284,WP_000188309.1,PCLA_431284,NP_462116,glnE,STM3201,MATCH
1264,1463,3005,ygiF,b3054,NP_417526,WP_000046281.1,PCLA_880566,WP_000046230.1,PCLA_880566,NP_462117,ygiF,STM3202,MATCH
1265,1464,3006,ygiM,b3055,NP_417527,WP_001125331.1,PCLA_431118,WP_001125344.1,PCLA_431118,NP_462118,ygiM,STM3203,MATCH
1266,1465,3007,cca,b3056,NP_417528,WP_000708487.1,PCLA_915060,WP_000708443.1,PCLA_915060,NP_462119,cca,STM3204,MATCH
1267,1466,3008,bacA,b3057,NP_417529,WP_001281927.1,PCLA_123120,WP_001576369.1,PCLA_123120,NP_462120,bacA,STM3205,MATCH
1268,1467,3010,ygiH,b3059,NP_417531,WP_001272796.1,PCLA_123060,WP_001272784.1,PCLA_123060,NP_462122,ygiH,STM3207,MATCH
1270,1469,3015,gcp,b3064,NP_417536,WP_001264352.1,PCLA_419685,WP_001264394.1,PCLA_419685,NP_462123,gcp,STM3208,MATCH
1271,1470,3016,rpsU,b3065,NP_417537,WP_001144069.1,PCLA_123110,WP_001144069.1,PCLA_123110,NP_462124,rpsU,STM3209,MATCH
1272,1472,3018,rpoD,b3067,NP_417539,WP_000437376.1,PCLA_209503,WP_001120159.1,PCLA_209503,NP_462126,rpoD,STM3211,MATCH
1273,1473,3019,mug,b3068,NP_417540,WP_000228937.1,PCLA_430480,WP_000237776.1,PCLA_430480,NP_462127,mug,STM3212,MATCH
1274,1474,3020,yqjH,b3070,NP_417541,WP_001066494.1,PCLA_880567,WP_000213760.1,PCLA_880567,NP_462128,yqjH,STM3214,MATCH
1275,1475,3021,yqjI,b3071,NP_417542,WP_000018003.1,PCLA_880568,WP_000983441.1,PCLA_880568,NP_462129,yqjI,STM3215,MATCH
1276,1476,3022,aer,b3072,NP_417543,WP_000094721.1,PCLA_880569,WP_000094651.1,PCLA_880569,NP_462131,aer,STM3217,MATCH
1277,1477,3031,fadH,b3081,NP_417552,WP_000121433.1,PCLA_5598550,WP_000121523.1,PCLA_5598550,NP_462133,fadH,STM3219,MATCH
1278,1478,3039,ygjU,b3089,NP_417560,WP_000211655.1,PCLA_989453,WP_000235363.1,PCLA_989453,NP_462139,ygjU,STM3225,MATCH
1279,1480,3046,yqjB,b3096,NP_417567,WP_001166760.1,PCLA_430871,WP_000917516.1,PCLA_430871,NP_462141,yqjB,STM3227,MATCH
1280,1481,3048,yqjD,b3098,NP_417569,WP_000031415.1,PCLA_430665,WP_000031219.1,PCLA_430665,NP_462143,yqjD,STM3229,MATCH
1281,1482,3049,yqjE,b3099,NP_417570,WP_000785722.1,PCLA_880583,WP_000785626.1,PCLA_880583,NP_462144,yqjE,STM3230,MATCH
1282,1483,3050,yqjK,b3100,NP_417571,WP_000096091.1,PCLA_880584,WP_000095496.1,PCLA_880584,NP_462145,yqjK,STM3231,MATCH
1283,1484,3052,yqjG,b3102,NP_417573,WP_000531213.1,PCLA_880586,WP_000531161.1,PCLA_880586,NP_462147,yqjG,STM3233,MATCH
1284,1485,3055,yhaJ,b3105,NP_417576,WP_001041009.1,PCLA_869663,WP_001041026.1,PCLA_869663,NP_462149,yhaJ,STM3235,MATCH
1285,1486,3064,tdcC,b3116,NP_417586,WP_000107723.1,PCLA_3577829,WP_000108129.1,PCLA_3577829,NP_462157,tdcC,STM3243,MATCH
1286,1487,3065,tdcB,b3117,NP_417587,WP_000548347.1,PCLA_419169,WP_000548370.1,PCLA_419169,NP_462158,tdcB,STM3244,MATCH
1287,1488,3066,tdcA,b3118,NP_417588,WP_000104211.1,PCLA_430609,WP_001094910.1,PCLA_430609,NP_462159,tdcA,STM3245,MATCH
1288,1489,3072,garL,b3126,NP_417595,WP_001058209.1,PCLA_430805,WP_001057715.1,PCLA_430805,NP_462162,garL,STM3249,MATCH
1289,1490,3074,garD,b3128,NP_417597,WP_001273753.1,PCLA_2939807,WP_001273723.1,PCLA_2939807,NP_462163,garD,STM3250,MATCH
1290,1493,3092,yraL,b3146,NP_417615,WP_000809262.1,PCLA_2846109,WP_000812288.1,PCLA_2846109,NP_462176,yraL,STM3263,MATCH
1291,1494,3093,yraM,b3147,NP_417616,WP_000249104.1,PCLA_880607,WP_000249229.1,PCLA_880607,NP_462177,yraM,STM3264,MATCH
1292,1495,3094,yraN,b3148,NP_417617,WP_000246830.1,PCLA_536297,WP_000057285.1,PCLA_536297,NP_462178,yraN,STM3265,MATCH
1293,1496,3095,yraO,b3149,NP_417618,WP_001158034.1,PCLA_431120,WP_000893481.1,PCLA_431120,NP_462179,yraO,STM3266,MATCH
1294,1497,3096,yraP,b3150,NP_417619,WP_000646033.1,PCLA_431239,WP_000643280.1,PCLA_431239,NP_462180,yraP,STM3267,MATCH
1295,1499,3101,yhbQ,b3155,NP_417624,WP_000189333.1,PCLA_414089,WP_000928379.1,PCLA_414089,NP_462184,yhbQ,STM3271,MATCH
1296,1501,3103,yhbT,b3157,NP_417626,WP_001295552.1,PCLA_880612,WP_000884721.1,PCLA_880612,NP_462186,yhbT,STM3273,MATCH
1297,1502,3104,yhbU,b3158,NP_417627,WP_001311152.1,PCLA_868314,WP_000421309.1,PCLA_868314,NP_462187,yhbU,STM3274,MATCH
1298,1503,3106,yhbW,b3160,NP_417629,WP_000130380.1,PCLA_430757,WP_000130443.1,PCLA_430757,NP_462189,yhbW,STM3276,MATCH
1299,1504,3110,nlpI,b3163,NP_417632,WP_000802080.1,PCLA_431376,WP_000802069.1,PCLA_431376,NP_462194,nlpI,STM3281,MATCH
1300,1505,3112,rpsO,b3165,NP_417634,WP_000059466.1,PCLA_3126434,WP_000059465.1,PCLA_3126434,NP_462196,rpsO,STM3283,MATCH
1301,1506,3113,truB,b3166,NP_417635,WP_000089698.1,PCLA_501340,WP_000089674.1,PCLA_501340,NP_462197,truB,STM3284,MATCH
1302,1508,3115,infB,b3168,NP_417637,WP_000133044.1,PCLA_209182,WP_000133064.1,PCLA_209182,NP_462199,infB,STM3286,MATCH
1303,1509,3116,nusA,b3169,NP_417638,WP_001031057.1,PCLA_213029,WP_001031038.1,PCLA_213029,NP_462200,nusA,STM3287,MATCH
1304,1510,3118,argG,b3172,NP_417640,WP_000207680.1,PCLA_209243,WP_014343910.1,PCLA_209243,NP_462202,argG,STM3290,MATCH
1305,1511,3120,secG,b3175,NP_417642,WP_001295556.1,PCLA_418093,WP_000272680.1,PCLA_418093,NP_462204,secG,STM3293,MATCH
1306,1512,3121,mrsA,b3176,NP_417643,WP_000071134.1,PCLA_431121,WP_000071169.1,PCLA_431121,NP_462205,mrsA,STM3294,MATCH
1307,1513,3123,hflB,b3178,NP_417645,WP_001107467.1,PCLA_430973,WP_001107481.1,PCLA_430973,NP_462207,hflB,STM3296,MATCH
1308,1514,3124,ftsJ,b3179,NP_417646,WP_000145975.1,PCLA_431375,WP_000145974.1,PCLA_431375,NP_462208,ftsJ,STM3297,MATCH
1309,1515,3127,dacB,b3182,NP_417649,WP_001212619.1,PCLA_431317,WP_001212680.1,PCLA_431317,NP_462211,dacB,STM3300,MATCH
1310,1516,3128,yhbZ,b3183,NP_417650,WP_000673575.1,PCLA_501524,WP_000673556.1,PCLA_501524,NP_462212,yhbZ,STM3301,MATCH
1311,1517,3130,rpmA,b3185,NP_417652,WP_000940595.1,PCLA_209305,WP_000940593.1,PCLA_209305,NP_462213,rpmA,STM3303,MATCH
1312,1518,3131,rplU,b3186,NP_417653,WP_000271401.1,PCLA_209418,WP_000271396.1,PCLA_209418,NP_462214,rplU,STM3304,MATCH
1313,1519,3132,ispB,b3187,NP_417654,WP_001047336.1,PCLA_431122,WP_001047354.1,PCLA_431122,NP_462215,ispB,STM3305,MATCH
1314,1520,3133,nlp,b3188,NP_417655,WP_000445413.1,PCLA_430612,WP_000444168.1,PCLA_430612,NP_462216,nlp,STM3306,MATCH
1315,1521,3134,murA,b3189,NP_417656,WP_000357259.1,PCLA_3201134,WP_000357288.1,PCLA_3201134,NP_462217,murA,STM3307,MATCH
1316,1522,3137,yrbC,b3192,NP_417659,WP_000476487.1,PCLA_2846232,WP_000476475.1,PCLA_2846232,NP_462220,yrbC,STM3310,MATCH
1317,1523,3138,yrbD,b3193,NP_417660,WP_001296448.1,PCLA_880618,WP_001193591.1,PCLA_880618,NP_462221,yrbD,STM3311,MATCH
1318,1524,3139,yrbE,b3194,NP_417661,WP_000925795.1,PCLA_880619,WP_000925786.1,PCLA_880619,NP_462222,yrbE,STM3312,MATCH
1319,1525,3140,yrbF,b3195,NP_417662,WP_000438245.1,PCLA_431844,WP_000531566.1,PCLA_431844,NP_462223,yrbF,STM3313,MATCH
1320,1526,3141,yrbG,b3196,NP_417663,WP_000922901.1,PCLA_430974,WP_000922736.1,PCLA_430974,NP_462224,yrbG,STM3314,MATCH
1321,1527,3142,yrbH,b3197,NP_417664,WP_001295557.1,PCLA_431126,WP_000018617.1,PCLA_431126,NP_462225,yrbH,STM3315,MATCH
1322,1528,3143,yrbI,b3198,NP_417665,WP_000030005.1,PCLA_419602,WP_000030021.1,PCLA_419602,NP_462226,yrbI,STM3316,MATCH
1323,1529,3144,yrbK,b3199,NP_417666,WP_000030537.1,PCLA_431127,WP_000047845.1,PCLA_431127,NP_462227,yrbK,STM3317,MATCH
1324,1530,3145,yhbN,b3200,NP_417667,WP_000669785.1,PCLA_431128,WP_000669770.1,PCLA_431128,NP_462228,yhbN,STM3318,MATCH
1325,1531,3146,yhbG,b3201,NP_417668,WP_000224099.1,PCLA_431129,WP_000224104.1,PCLA_431129,NP_462229,yhbG,STM3319,MATCH
1326,1532,3147,rpoN,b3202,NP_417669,WP_000809057.1,PCLA_417368,WP_000809020.1,PCLA_417368,NP_462230,rpoN,STM3320,MATCH
1327,1533,3148,yhbH,b3203,NP_417670,WP_001176599.1,PCLA_430728,WP_001176589.1,PCLA_430728,NP_462231,yhbH,STM3321,MATCH
1328,1534,3149,ptsN,b3204,NP_417671,WP_000183676.1,PCLA_431130,WP_000609332.1,PCLA_431130,NP_462232,ptsN,STM3322,MATCH
1329,1535,3150,yhbJ,b3205,NP_417672,WP_000243741.1,PCLA_209288,WP_000243749.1,PCLA_209288,NP_462233,yhbJ,STM3323,MATCH
1330,1536,3151,ptsO,b3206,NP_417673,WP_000216791.1,PCLA_431131,WP_000216797.1,PCLA_431131,NP_462234,ptsO,STM3324,MATCH
1331,1537,3152,yrbL,b3207,NP_417674,WP_000620405.1,PCLA_430613,WP_000602196.1,PCLA_430613,NP_462235,yrbL,STM3325,MATCH
1332,1538,3153,mtgA,b3208,NP_417675,WP_000047091.1,PCLA_413967,WP_000044652.1,PCLA_413967,NP_462236,mtgA,STM3326,MATCH
1333,1539,3156,yhcC,b3211,NP_417678,WP_001299745.1,PCLA_862206,WP_001176887.1,PCLA_862206,NP_462239,yhcC,STM3329,MATCH
1334,1540,3158,gltD,b3213,NP_417680,WP_000081674.1,PCLA_2407663,WP_000081628.1,PCLA_2407663,NP_462241,gltD,STM3331,MATCH
1336,1542,3165,yhcG,b3220,NP_417687,WP_000445111.1,PCLA_880620,WP_000184315.1,PCLA_880620,NP_462242,yhcG,STM3332,MATCH
1337,1544,3170,nanA,b3225,NP_417692,WP_000224714.1,PCLA_208079,WP_001029667.1,PCLA_208079,NP_462249,nanA,STM3339,MATCH
1338,1545,3173,sspB,b3228,NP_417695,WP_000366129.1,PCLA_431831,WP_000366112.1,PCLA_431831,NP_462251,sspB,STM3341,MATCH
1339,1546,3174,sspA,b3229,NP_417696,WP_000257293.1,PCLA_419600,WP_000257298.1,PCLA_419600,NP_462252,sspA,STM3342,MATCH
1340,1547,3175,rpsI,b3230,NP_417697,WP_000829818.1,PCLA_501384,WP_000829815.1,PCLA_501384,NP_462254,rpsI,STM3344,MATCH
1341,1548,3176,rplM,b3231,NP_417698,WP_000847559.1,PCLA_213043,WP_000847559.1,PCLA_213043,NP_462255,rplM,STM3345,MATCH
1342,1549,3177,yhcM,b3232,NP_417699,WP_001192332.1,PCLA_880622,WP_001191222.1,PCLA_880622,NP_462256,yhcM,STM3346,MATCH
1343,1550,3179,degQ,b3234,NP_417701,WP_001295271.1,PCLA_4932138,WP_000716693.1,PCLA_4932138,NP_462258,degQ,STM3348,MATCH
1344,1551,3180,degS,b3235,NP_417702,WP_000497723.1,PCLA_431132,WP_000497705.1,PCLA_431132,NP_462259,degS,STM3349,MATCH
1345,1553,3182,argR,b3237,NP_417704,WP_001257846.1,PCLA_208953,WP_001257852.1,PCLA_208953,NP_462270,argR,STM3360,MATCH
1346,1554,3184,yhcO,b3239,NP_417706,WP_001029013.1,PCLA_880624,WP_001103887.1,PCLA_880624,NP_462273,yhcO,STM3363,MATCH
1347,1555,3185,yhcP,b3240,NP_417707,WP_000510991.1,PCLA_430873,WP_000510913.1,PCLA_430873,NP_462274,yhcP,STM3364,MATCH
1348,1556,3186,yhcQ,b3241,NP_417708,WP_000854021.1,PCLA_430806,WP_000855134.1,PCLA_430806,NP_462275,yhcQ,STM3365,MATCH
1349,1557,3188,yhcS,b3243,NP_417710,WP_000440317.1,PCLA_430874,WP_000440300.1,PCLA_430874,NP_462277,yhcS,STM3367,MATCH
1350,1558,3189,tldD,b3244,NP_417711,WP_000055909.1,PCLA_430975,WP_000055936.1,PCLA_430975,NP_462278,tldD,STM3368,MATCH
1351,1561,3196,yhdA,b3252,NP_417718,WP_001241469.1,PCLA_431271,WP_001241377.1,PCLA_431271,NP_462285,yhdA,STM3375,MATCH
1352,1562,3197,yhdH,b3253,NP_417719,WP_001148481.1,PCLA_880625,WP_001148246.1,PCLA_880625,NP_462286,yhdH,STM3376,MATCH
1353,1563,3200,accB,b3255,NP_417721,WP_000354622.1,PCLA_210146,WP_000354626.1,PCLA_210146,NP_462289,accB,STM3379,MATCH
1354,1564,3201,accC,b3256,NP_417722,WP_000884639.1,PCLA_419139,WP_000884627.1,PCLA_419139,NP_462290,accC,STM3380,MATCH
1355,1565,3202,yhdT,b3257,NP_417723,WP_000381173.1,PCLA_430875,WP_000340018.1,PCLA_430875,NP_462291,yhdT,STM3381,MATCH
1356,1566,3204,prmA,b3259,NP_417725,WP_001145827.1,PCLA_414160,WP_001145849.1,PCLA_414160,NP_462293,prmA,STM3383,MATCH
1357,1567,3205,yhdG,b3260,NP_417726,WP_001219652.1,PCLA_430676,WP_001219664.1,PCLA_430676,NP_462294,yhdG,STM3384,MATCH
1358,1568,3206,fis,b3261,NP_417727,WP_000462905.1,PCLA_123265,WP_000462905.1,PCLA_123265,NP_462295,fis,STM3385,MATCH
1359,1569,3209,envR,b3264,NP_417730,WP_001129518.1,PCLA_430268,WP_001085725.1,PCLA_430268,NP_462299,envR,STM3389,MATCH
1360,1570,3212,yhdV,b3267,NP_417733,WP_000825639.1,PCLA_880629,WP_000825645.1,PCLA_880629,NP_462302,yhdV,STM3392,MATCH
1361,1572,3219,aroE,b3281,NP_417740,WP_000451243.1,PCLA_3104046,WP_000451193.1,PCLA_3104046,NP_462305,aroE,STM3401,MATCH
1362,1573,3220,yrdC,b3282,NP_417741,WP_001301412.1,PCLA_430876,WP_001063609.1,PCLA_430876,NP_462306,yrdC,STM3402,MATCH
1363,1575,3224,def,b3287,NP_417745,WP_000114984.1,PCLA_775146,WP_000114987.1,PCLA_775146,NP_462310,def,STM3406,MATCH
1364,1576,3225,fmt,b3288,NP_417746,WP_000004473.1,PCLA_413919,WP_001285165.1,PCLA_413919,NP_462311,fmt,STM3407,MATCH
1365,1577,3226,sun,b3289,NP_417747,WP_000744778.1,PCLA_431135,WP_000744604.1,PCLA_431135,NP_462312,sun,STM3408,MATCH
1366,1578,3227,trkA,b3290,NP_417748,WP_000691382.1,PCLA_419613,WP_000691374.1,PCLA_419613,NP_462313,trkA,STM3409,MATCH
1367,1579,3228,mscL,b3291,NP_417749,WP_000022442.1,PCLA_414195,WP_000008119.1,PCLA_414195,NP_462314,mscL,STM3410,MATCH
1368,1580,3230,zntR,b3292,NP_417751,WP_000285607.1,PCLA_419624,WP_000285585.1,PCLA_419624,NP_462316,zntR,STM3412,MATCH
1369,1582,3232,rplQ,b3294,NP_417753,WP_001216368.1,PCLA_417184,WP_001216370.1,PCLA_417184,NP_462318,rplQ,STM3414,MATCH
1370,1583,3233,rpoA,b3295,NP_417754,WP_001162094.1,PCLA_209063,WP_001162094.1,PCLA_209063,NP_462319,rpoA,STM3415,MATCH
1371,1584,3234,rpsD,b3296,NP_417755,WP_000135224.1,PCLA_209203,WP_000135226.1,PCLA_209203,NP_462320,rpsD,STM3416,MATCH
1372,1585,3235,rpsK,b3297,NP_417756,WP_001029684.1,PCLA_3117938,WP_001029758.1,PCLA_3117938,NP_462321,rpsK,STM3417,MATCH
1373,1586,3236,rpsM,b3298,NP_417757,WP_000090775.1,PCLA_2814627,WP_000090780.1,PCLA_2814627,NP_462322,rpsM,STM3418,MATCH
1374,1587,3237,rpmJ,b3299,NP_417758,WP_000868187.1,PCLA_2529156,WP_000868187.1,PCLA_2529156,NP_462323,rpmJ,STM3419,MATCH
1375,1588,3238,secY,b3300,NP_417759,WP_001118861.1,PCLA_213031,WP_001118864.1,PCLA_213031,NP_462324,secY,STM3420,MATCH
1376,1589,3239,rplO,b3301,NP_417760,WP_001238914.1,PCLA_209437,WP_001238917.1,PCLA_209437,NP_462325,rplO,STM3421,MATCH
1377,1591,3241,rpsE,b3303,NP_417762,WP_000940121.1,PCLA_123381,WP_000940121.1,PCLA_123381,NP_462327,rpsE,STM3423,MATCH
1378,1592,3242,rplR,b3304,NP_417763,WP_000358960.1,PCLA_3034582,WP_000358956.1,PCLA_3034582,NP_462328,rplR,STM3424,MATCH
1379,1593,3243,rplF,b3305,NP_417764,WP_000091945.1,PCLA_3003799,WP_000091939.1,PCLA_3003799,NP_462329,rplF,STM3425,MATCH
1380,1594,3244,rpsH,b3306,NP_417765,WP_000062611.1,PCLA_122984,WP_000062611.1,PCLA_122984,NP_462330,rpsH,STM3426,MATCH
1381,1595,3245,rpsN,b3307,NP_417766,WP_001118930.1,PCLA_419367,WP_001118932.1,PCLA_419367,NP_462331,rpsN,STM3427,MATCH
1382,1596,3246,rplE,b3308,NP_417767,WP_001096200.1,PCLA_3246632,WP_001096206.1,PCLA_3246632,NP_462332,rplE,STM3428,MATCH
1383,1597,3247,rplX,b3309,NP_417768,WP_000729185.1,PCLA_413918,WP_000729185.1,PCLA_413918,NP_462333,rplX,STM3429,MATCH
1384,1598,3248,rplN,b3310,NP_417769,WP_000613955.1,PCLA_3041567,WP_000613954.1,PCLA_3041567,NP_462334,rplN,STM3430,MATCH
1385,1599,3249,rpsQ,b3311,NP_417770,WP_000130100.1,PCLA_3034587,WP_000130101.1,PCLA_3034587,NP_462335,rpsQ,STM3431,MATCH
1386,1601,3251,rplP,b3313,NP_417772,WP_000941212.1,PCLA_213030,WP_000941208.1,PCLA_213030,NP_462337,rplP,STM3433,MATCH
1387,1602,3252,rpsC,b3314,NP_417773,WP_000529945.1,PCLA_2835675,WP_000529945.1,PCLA_2835675,NP_462338,rpsC,STM3434,MATCH
1388,1603,3253,rplV,b3315,NP_417774,WP_000447529.1,PCLA_123395,WP_000447529.1,PCLA_123395,NP_462339,rplV,STM3435,MATCH
1389,1604,3254,rpsS,b3316,NP_417775,WP_001138117.1,PCLA_2797360,WP_001138115.1,PCLA_2797360,NP_462340,rpsS,STM3436,MATCH
